sepal.length,sepal.width,petal.length,petal.width,variety
Setosa,3.5,1.4,0.2,Setosa
Setosa,3,1.4,0.2,Setosa
Setosa,3.2,1.3,0.2,Setosa
Setosa,3.1,1.5,0.2,Setosa
Setosa,3.6,1.4,0.2,Setosa
Setosa,3.9,1.7,0.4,Setosa
Setosa,3.4,1.4,0.3,Setosa
Setosa,3.4,1.5,0.2,Setosa
Setosa,2.9,1.4,0.2,Setosa
Setosa,3.1,1.5,0.1,Setosa
Setosa,3.7,1.5,0.2,Setosa
Setosa,3.4,1.6,0.2,Setosa
Setosa,3,1.4,0.1,Setosa
Setosa,3,1.1,0.1,Setosa
Setosa,4,1.2,0.2,Setosa
Setosa,4.4,1.5,0.4,Setosa
Setosa,3.9,1.3,0.4,Setosa
Setosa,3.5,1.4,0.3,Setosa
Setosa,3.8,1.7,0.3,Setosa
Setosa,3.8,1.5,0.3,Setosa
Setosa,3.4,1.7,0.2,Setosa
Setosa,3.7,1.5,0.4,Setosa
Setosa,3.6,1,0.2,Setosa
Setosa,3.3,1.7,0.5,Setosa
Setosa,3.4,1.9,0.2,Setosa
Setosa,3,1.6,0.2,Setosa
Setosa,3.4,1.6,0.4,Setosa
Setosa,3.5,1.5,0.2,Setosa
Setosa,3.4,1.4,0.2,Setosa
Setosa,3.2,1.6,0.2,Setosa
Setosa,3.1,1.6,0.2,Setosa
Setosa,3.4,1.5,0.4,Setosa
Setosa,4.1,1.5,0.1,Setosa
Setosa,4.2,1.4,0.2,Setosa
Setosa,3.1,1.5,0.2,Setosa
Setosa,3.2,1.2,0.2,Setosa
Setosa,3.5,1.3,0.2,Setosa
Setosa,3.6,1.4,0.1,Setosa
Setosa,3,1.3,0.2,Setosa
Setosa,3.4,1.5,0.2,Setosa
Setosa,3.5,1.3,0.3,Setosa
Setosa,2.3,1.3,0.3,Setosa
Setosa,3.2,1.3,0.2,Setosa
Setosa,3.5,1.6,0.6,Setosa
Setosa,3.8,1.9,0.4,Setosa
Setosa,3,1.4,0.3,Setosa
